id_edicion_text,numero_edicion_number,mes_edicion_option,seccion_electoral_text,ambito,clasificacion_spt,spt,arq_dominante,problematica_principal,tema_sugerido,ejemplares_planeados_number,canal_distribucion_option
ED-2026-03,3,Abril 2026,2475,Urbano,Consolidacion,48.45,R0,Calles y pavimento,Infraestructura: programa de pavimentación y mantenimiento vial,134,Brigadas
ED-2026-03,3,Abril 2026,2478,Urbano,Consolidacion,48.86,R1,Salud y campo,Salud rural: clínicas móviles y abasto de medicamentos en comunidades,100,Acción directa
ED-2026-03,3,Abril 2026,2480,Urbano,Consolidacion,42.06,R0,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,122,Acción directa
ED-2026-03,3,Abril 2026,2481,Urbano,Consolidacion,42.15,U1,Alumbrado público,Alumbrado: plan de modernización con LED en colonias urbanas,84,Reunión Multinivel
ED-2026-03,3,Abril 2026,2482,Urbano,Mantenimiento,34.62,R1,Calles y pavimento,Infraestructura: programa de pavimentación y mantenimiento vial,79,Brigadas
ED-2026-03,3,Abril 2026,2484,Urbano,Consolidacion,42.93,R0,Salud y campo,Salud rural: clínicas móviles y abasto de medicamentos en comunidades,82,Reunión Multinivel
ED-2026-03,3,Abril 2026,2485,Rural Media,Consolidacion,49.76,R0,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,133,Acción directa
ED-2026-03,3,Abril 2026,2486,Urbano,Prioritaria,71.5,R1,Inseguridad,Seguridad comunitaria: modelo de vigilancia vecinal y alumbrado,249,Brigadas
ED-2026-03,3,Abril 2026,2488,Rural Marginal,Prioritaria,70.7,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,202,Brigadas
ED-2026-03,3,Abril 2026,2489,Rural Marginal,Prioritaria,70.8,R1,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,232,Reunión Multinivel
ED-2026-03,3,Abril 2026,2727,Urbano,Consolidacion,42.52,U1,Economía y empleo,Economía local: apoyo a productores y comercio en Zacatlán,92,Reunión Multinivel
ED-2026-03,3,Abril 2026,2809,Rural Media,Consolidacion,54.67,R0,Salud y campo,Salud rural: clínicas móviles y abasto de medicamentos en comunidades,83,Brigadas
ED-2026-03,3,Abril 2026,2895,Rural Media,Mantenimiento,37.42,R0,Agua potable,Acceso al agua: propuesta de redes de distribución en comunidades rurales,51,Acción directa
